year,single,four,CGS_M,CGS_M_inflation,CGS_M_infl2,PGS_D,PGS_D_inflation,PGS_D_infl2,CGS_D,CGS_D_inflation,CGS_D_infl2,PDF,PDF_inflation,PDF_infl2
2022,,,17500,,25600.63,21000,,30720.71,35000,,51201.14,45000,,58515.58
2021,,,17500,,23977.09,21000,,28772.47,35000,,47954.07,45000,,54804.65
2020,22060,41710,17500,23721.81,23190.96,21000,27823.48,27829.11,35000,46372.44,46381.81,45000,52997.11,53007.78
2019,21899,41406,17500,23513.42,23242.23,21000,27579.06,27890.63,35000,45965.07,46484.35,45000,52531.54,53124.97
2018,21481,40614,17500,23079.27,22780.8,21000,27069.85,27336.92,35000,45116.38,45561.5,45000,51561.61,52070.28
2017,20998,39701,17500,22558.29,22285.19,21000,26458.79,26742.19,35000,44097.95,44570.29,45000,50397.69,50937.47
2016,20675,39092,17500,22210.97,21926.3,21000,26051.42,26311.53,35000,43419,43852.52,45000,49621.74,50117.16
2015,20386,38544,17500,21933.12,21567.41,21000,25725.52,25880.87,35000,42875.84,43134.75,45000,49000.98,49296.85
2014,20160,38117,17500,21672.63,21396.51,21000,25419.99,25675.79,35000,42366.63,42792.95,40000,48419.02,48906.23
2013,19774,37387,17500,21342.68,20969.26,21000,25032.99,25163.09,35000,41721.63,41938.46,40000,47681.87,47929.67
2012,19597,37052,17500,21134.29,20883.81,21000,24788.57,25060.55,35000,41314.26,41767.56,40000,47216.3,47734.36
2011,19307,36504,17500,20734.87,20473.65,21000,24320.09,24568.36,35000,40533.46,40947.25,40000,46323.96,46796.86
2010,18759,35469,17500,20074.97,19824.24,21000,23546.08,23789.06,35000,39243.45,39648.42,40000,44849.66,45312.49
2009,18421,34829,17500,19797.12,19465.35,21000,23220.18,23358.4,35000,38700.29,38930.65,40000,44228.9,44492.18
2008,18373,34738,17500,19554,19396.99,21000,22935.02,23276.37,35000,38225.02,38793.93,40000,43685.74,44335.93
2007,17954,33946,17500,19293.51,19072.28,21000,22629.49,22886.72,35000,37715.81,38144.52,40000,43103.78,43593.74
2006,17568,33216,17500,18859.36,18662.12,21000,22120.28,22394.53,35000,36867.12,37324.21,40000,42133.85,42656.24
2005,17230,32576,17500,18043.16,18217.78,21000,21651.8,21861.33,35000,36086.32,36435.54,40000,41241.51,41640.62
2004,16859,31876,17500,17635.79,17790.53,21000,21162.95,21348.63,35000,35271.58,35581.05,40000,40310.38,40664.06
2003,16553,31298,17500,17500,17500,21000,21000,21000,35000,35000,35000,40000,40000,40000
