Province,City,Latitude,Longitude,CGSM,PGSD,PDF,year_rent,tuition
Alberta,Calgary,51.0784,-114.1347,17500,21000,45000,17340,7020
Alberta,Edmonton,53.5232,-113.5263,17500,21000,45000,11988,7020
Alberta,Lethbridge,49.6786,-112.86,17500,21000,45000,12636,7020
British Columbia,Burnaby,49.2781,-122.9199,17500,21000,45000,22620,9720
British Columbia,Vancouver,49.2606,-123.246,17500,21000,45000,28800,9720
British Columbia,Victoria,48.4634,-123.3117,17500,21000,45000,25020,9720
Manitoba,Winnipeg,49.8075,-97.1366,17500,21000,45000,13512,5406
New Brunswick,Fredericton,45.9448,-66.643,17500,21000,45000,10200,6988
Newfoundland and Labrador,St. John's,47.5738,-52.7329,17500,21000,45000,10116,2825
Nova Scotia,Halifax,44.6366,-63.5917,17500,21000,45000,19800,10147
Ontario ,Guelph,43.5327,-80.2262,17500,21000,45000,18588,9765
Ontario ,Hamilton,43.2609,-79.9192,17500,21000,45000,18216,9765
Ontario ,Kingston,44.2253,-76.4951,17500,21000,45000,17964,9765
Ontario ,Waterloo,43.4723,-80.5449,17500,21000,45000,21120,9765
Ontario ,London,43.0096,-81.2737,17500,21000,45000,17184,9765
Ontario ,Oshawa,43.9455,-78.8968,17500,21000,45000,21024,9765
Ontario ,Ottawa,45.3876,-75.696,17500,21000,45000,17760,9765
Ontario ,St. Catharines,43.1176,-79.2477,17500,21000,45000,18900,9765
Ontario ,Sudbury,46.4672,-80.9757,17500,21000,45000,16188,9765
Ontario ,Toronto,43.6577,-79.3788,17500,21000,45000,23100,9765
Ontario ,Windsor,42.3043,-83.066,17500,21000,45000,16200,9765
Prince Edward Island,Charlottetown,46.2569,-63.1389,17500,21000,45000,14460,5187
Quebec,Montreal ,45.4948,-73.5779,17500,21000,45000,17460,3443
Quebec,Quebec City,45.5048,-73.6132,17500,21000,45000,13188,3443
Saskatchewan,Regina,50.4155,-104.5878,17500,21000,45000,11688,4694
Saskatchewan,Saskatoon,52.1334,-106.6314,17500,21000,45000,11856,4694
